PL1;;;;;;;;;;;;;
Data;05/11/2025;;;;;;;;;;;;
Curso;LEI;;;;;;;;;;;;
Grupo;5;;;;;;;;;;;;
Aluno 1;83934;;;;;;;;;;;;
Aluno 2;90247;;;;;;;;;;;;
Aluno 3;90147;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Dados Iniciais;;;Dados do Procedimento: ;;;;;;;;;;
Temperatura Ambiente T0;25;;Tempo: ;Temperatura: ;Calor Transferido ;Energia Elétrica;Variação de T:;;;;;;
Temperatura Inicial da Água (Tagi) ;14;;1;16;456,9327273;1594,3368;2;;;;;;
Temperatura Final (2*T0-Tagi) ;36;;2;16,5;571,1659091;3188,6736;2,5;;;;;;
Peso do Boião Vazio sem tampa(mb) ;37,57;;3;17;685,3990909;4783,0104;3;;;;;;
Peso do Boião com água (mb+mag) ;251,4;;4;18;913,8654545;6377,3472;4;;;;;;
Massa da Água (mag): ;213,83;;5;19;1142,331818;7971,684;5;;;;;;
Tensão Inicial (V): ;12,04;;6;19,5;1256,565;9566,0208;5,5;;;;;4,309294365;2674,82576
Valor de I: ;2,207;;7;20;1370,798182;11160,3576;6;;;;;0,309010448;801,9557367
Cag;1;;8;22;1827,730909;12754,6944;8;;;;;0,941881863;1673,539589
Cb;1,045454545;;9;25;2513,13;14349,0312;11;;;;;194,4759918;12
;;;10;27;2970,062727;15943,368;13;;;;;544675669,7;33608817,09
;;;11;29;3426,995455;17537,7048;15;;;;;;
;;;12;30;3655,461818;19132,0416;16;;;;;;
;;;13;33;4340,860909;20726,3784;19;;;;;;
;;;14;36;5026,26;22320,7152;22;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
